,Name,Twitter Handle,Miles from AA,First Offer,Last Offer,Official Visit,Last Official Visit,Attended Michigan,In-State,screenName,michFavToAllTweetRatio,michTweetToAllTweetRatio,michOverallTweetRatio,michNativeRTweetRatio,michNativeTweetRatio,Logisitc Regression l1 Pred Label,Logisitc Regression l1 No Prob,Logisitc Regression l1 Yes Prob,Logisitc Regression l2 Pred Label,Logisitc Regression l2 No Prob,Logisitc Regression l2 Yes Prob,Random Forest Model Predicted Labels,Random Forest No Prob,Random Forest Yes Prob
0,Cam Akers,thereal_cam3,935,0,0,0,0,0,0,thereal_cam3,0,0,0.001571503,0.002230483,0,0,0.949805846,0.050194154,0,0.964950459,0.035049541,0,1,0
1,Foster Sarell,thebigfozbear,2320,0,0,0,0,0,0,thebigfozbear,0,0,0.00095057,0.002457002,0,0,0.989800417,0.010199583,0,0.989441651,0.010558349,0,0.97,0.03
2,Marvin Wilson,RDMW6,1296,0,0,0,0,0,0,RDMW6,0,0,0.002314815,0.004140787,0,0,0.966640004,0.033359996,0,0.974309042,0.025690958,0,1,0
3,Jeffrey Okudah,jokudah_,1178,0,0,0,0,0,0,jokudah_,8.832232948,6.779148674,0.001322314,0.003430532,0.000819001,0,0.98430198,0.01569802,0,0.988233658,0.011766342,0,1,0
4,Walker Little,walkerlittle45,1296,0,0,0,0,0,0,walkerlittle45,2.506144613,2.564695009,0.025345622,0.025,0.027027027,0,0.975108731,0.024891269,0,0.980799237,0.019200763,0,0.976,0.024
5,Joshua Kaindoh,joshuakaindoh,1203,0,0,0,0,0,0,joshuakaindoh,0,0,0,0,0,0,0.962912955,0.037087045,0,0.972106117,0.027893883,0,1,0
6,Donovan Peoples-Jones,dpeoplesjones,44,0,0,1,0,1,1,dpeoplesjones,5.994618777,5.439661207,0.08116655,0.109010011,0.033396947,1,0.285562472,0.714437528,1,0.2960378,0.7039622,0,0.548,0.452
7,Trey Smith,smithtrey98,647,0,0,0,0,0,0,smithtrey98,0.732595052,0.858223187,0.013198758,0.012687428,0.014251781,0,0.936781177,0.063218823,0,0.959116662,0.040883338,0,0.986,0.014
8,Davis Mills,Millsions,714,0,0,0,0,0,0,Millsions,6.451374813,4.798946557,0.010739364,0.009868421,0.011618257,0,0.965604613,0.034395387,0,0.977558066,0.022441934,0,0.994,0.006
9,Isaiah Wilson,_LayZay_,617,0,0,1,0,0,0,_LayZay_,3.361898431,3.770845481,0.038873995,0.08,0.011210762,1,0.380200703,0.619799297,1,0.472509373,0.527490627,0,0.632,0.368
10,JaCoby Stevens,jacobystevens7,552,0,0,0,0,0,0,jacobystevens7,0,0,0.009765625,0.010819165,0.004132231,0,0.923316213,0.076683787,0,0.951734546,0.048265454,0,0.99,0.01
11,Darnay Holmes,ProwayDarnay,2263,0,0,0,0,0,0,ProwayDarnay,0,0,0,0,0,0,0.989098311,0.010901689,0,0.988887579,0.011112421,0,0.892,0.108
12,Aubrey Solomon,AubreySolomon91,886,0,0,1,0,1,0,AubreySolomon91,8.504721201,8.890804598,0.038461538,0.076923077,0.012820513,0,0.607796668,0.392203332,0,0.669674215,0.330325785,0,0.794,0.206
13,Wyatt Davis,wyattdavis53,2241,0,0,0,0,0,0,wyattdavis53,0,0,0.013562387,0.018759019,0.004842615,0,0.988814717,0.011185283,0,0.988788768,0.011211232,0,0.956,0.044
14,Calvin Ashley,Ca70_,522,0,0,0,0,0,0,Ca70_,0.192546584,0,0.005649718,0.009950249,0.003584229,0,0.921494028,0.078505972,0,0.95104175,0.04895825,0,0.988,0.012
15,A.J. Epenesa,ajepenesa24,486,0,0,0,0,0,0,ajepenesa24,4.048365428,5.68627451,0.007824726,0.005012531,0.0125,0,0.95262131,0.04737869,0,0.969421361,0.030578639,0,0.994,0.006
16,LaBryan Ray,LabryanRay,636,0,0,0,0,0,0,LabryanRay,6.110142267,8.862385321,0.00598035,0.01003009,0.00297619,0,0.97062259,0.02937741,0,0.979737483,0.020262517,0,0.99,0.01
17,Hunter Johnson,HunterPh413,281,0,0,0,0,0,0,HunterPh413,0,0,0,0,0,0,0.897376092,0.102623908,0,0.939097467,0.060902533,0,0.994,0.006
18,Joseph Lewis,jodyforthewin,2240,0,0,0,0,0,0,jodyforthewin,1.207747136,3.453640777,0.032700422,0.044843049,0.003584229,0,0.991631038,0.008368962,0,0.991323941,0.008676059,0,0.904,0.096
19,D'Andre Swift,DAndreSwift,582,0,0,0,0,0,0,DAndreSwift,6.933398789,4.960782434,0.005739514,0.010787487,0.002242152,0,0.96138715,0.03861285,0,0.975796036,0.024203964,0,0.99,0.01
20,Jedrick Wills,JWills73,332,0,0,1,0,0,0,JWills73,44.60252587,33.0500952,0.014442519,0.026685393,0.005888126,0,0.963397262,0.036602738,0,0.975811863,0.024188137,0,0.734,0.266
21,Austin Jackson,ChocoDro,1964,0,0,0,0,0,0,ChocoDro,8.155146027,10.45754429,0.008077544,0.015294118,0.001986097,0,0.994922883,0.005077117,0,0.994859415,0.005140585,0,0.988,0.012
22,Colby Parkinson,CJ51,2273,0,0,0,0,0,0,CJ51,0,0,0.024193548,0.037267081,0,0,0.989224855,0.010775145,0,0.989210938,0.010789062,0,0.946,0.054
23,K'Lavon Chaisson,WhosThatGuy4,1289,0,0,0,0,0,0,WhosThatGuy4,0,0,0,0,0,0,0.966372532,0.033627468,0,0.974096079,0.025903921,0,1,0
24,Stanford Samuels,SSIII_,1331,0,0,0,0,0,0,SSIII_,6.403620532,3.287213321,0.013346515,0.014388489,0.012615643,0,0.981279458,0.018720542,0,0.985885845,0.014114155,0,0.898,0.102
25,Jay Tufele,tufele123,1630,0,0,1,0,0,0,tufele123,8.693358488,10.46496708,0.035422343,0.053465347,0.020134228,0,0.807149519,0.192850481,0,0.808579217,0.191420783,0,0.766,0.234
26,Devon Hunter,devonhunter11,719,0,0,0,0,0,0,devonhunter11,0,0,0.00808369,0.010493827,0,0,0.936159701,0.063840299,0,0.958077389,0.041922611,0,0.996,0.004
27,Andrew Thomas,allforgod_55,710,0,0,0,0,0,0,allforgod_55,0,0,0.005847953,0.003472222,0.018518519,0,0.935521857,0.064478143,0,0.957567917,0.042432083,0,0.998,0.002
28,Cesar Ruiz,_OverCees,1203,0,0,1,0,1,0,_OverCees,13.80881633,11.74540849,0.03163017,0.054209919,0.015151515,0,0.782082584,0.217917416,0,0.81109174,0.18890826,0,0.828,0.172
29,Austin Deculus,austindeculus76,1289,0,0,0,0,0,0,austindeculus76,0,0,0.021367521,0.032258065,0,0,0.966372532,0.033627468,0,0.974552572,0.025447428,0,0.994,0.006
30,Deangelo Gibbs,GibbsDeangelo,738,0,1,0,0,0,0,GibbsDeangelo,22.78736842,19.40961857,0.011406844,0.01523616,0.003246753,0,0.994445204,0.005554796,0,0.994473354,0.005526646,0,0.922,0.078
31,Tyjon Lindsey,tyjonlindsey,1971,0,0,0,0,0,0,tyjonlindsey,0,0,0,0,0,0,0.984680808,0.015319192,0,0.985660212,0.014339788,0,0.966,0.034
32,Paris Ford,DiddyBop1_,284,0,0,0,0,0,0,DiddyBop1_,0,0,0.002283105,0.004065041,0,0,0.897701739,0.102298261,0,0.939376884,0.060623116,0,0.994,0.006
33,Josh Myers,josh_myers58,207,0,0,0,0,0,0,josh_myers58,0.270600559,0.535961272,0.005434783,0.009118541,0.003870968,0,0.893879484,0.106120516,0,0.93810596,0.06189404,0,0.992,0.008
34,AJ Terrell,dream8chasin_,710,0,0,0,0,0,0,dream8chasin_,0,0,0.006097561,0.008915305,0.002105263,0,0.935521857,0.064478143,0,0.95771043,0.04228957,0,0.996,0.004
35,Tate Martell,TheTateMartell,1971,0,0,0,0,0,0,TheTateMartell,0,0,0,0,0,0,0.984680808,0.015319192,0,0.985660212,0.014339788,0,0.966,0.034
36,Luji Vilain,Luiji_V,527,0,0,1,1,1,0,Luiji_V,32.03560043,32.56418919,0.010558069,0.010548523,0.010582011,0,0.88891355,0.11108645,0,0.861074792,0.138925208,0,0.596,0.404
37,Marlon Tuipulotu,marlont_51,2402,0,0,0,0,0,0,marlont_51,5.722946347,6.873786408,0.004504505,0,0.008474576,0,0.995630888,0.004369112,0,0.995102927,0.004897073,0,0.974,0.026
38,Deommodore Lenoir,Deommo_Lenoir,2240,0,0,0,0,0,0,Deommo_Lenoir,0.030346606,0,0.002185792,0.00330033,0.001633987,0,0.988819008,0.011180992,0,0.988703754,0.011296246,0,0.976,0.024
39,Anthony Hines,TheAntHines_Era,1120,0,0,0,0,0,0,TheAntHines_Era,1.964344801,2.123129189,0.003311258,0.004170142,0.002465078,0,0.967787787,0.032212213,0,0.97610124,0.02389876,0,0.996,0.004
40,Grant Delpit,showtime9_,1203,0,0,0,0,0,0,showtime9_,0,0,0.004456328,0.005720824,0,0,0.962912955,0.037087045,0,0.972196235,0.027803765,0,0.992,0.008
41,Ty Chandler,Channdler_35,522,0,0,0,0,0,0,Channdler_35,15.4687311,15.51146931,0.004604052,0.00754717,0.001798561,0,0.986518184,0.013481816,0,0.991024783,0.008975217,0,0.978,0.022
42,Tedarrel Slaton,d1bound0_77,1324,0,0,0,0,0,0,d1bound0_77,0,0,0.010973937,0.014035088,0,0,0.967689492,0.032310508,0,0.975065239,0.024934761,0,0.97,0.03
43,Willie Gay Jr.,WillieYRN,787,0,0,1,0,0,0,WillieYRN,0.943544428,0.312080537,0.039325843,0.079411765,0.002688172,1,0.344108733,0.655891267,1,0.429705764,0.570294236,0,0.688,0.312
44,Brock Wright,brockjwright40,1289,0,0,0,0,0,0,brockjwright40,0,0,0,0,0,0,0.966372532,0.033627468,0,0.974096079,0.025903921,0,1,0
45,Henry Ruggs III,__RUGGS,801,0,0,0,0,0,0,__RUGGS,8.955524816,6.416088453,0.002534854,0.003614458,0.001951854,0,0.97528742,0.02471258,0,0.983503595,0.016496405,0,0.998,0.002
46,Jamyest Williams,Jamy0602,738,0,0,0,0,0,0,Jamy0602,0,0,0.002105263,0.002496879,0,0,0.937486995,0.062513005,0,0.958564088,0.041435912,0,1,0
47,Drew Singleton,_DrewSingleton,609,0,0,1,1,1,0,_DrewSingleton,29.31269688,27.28570154,0.027930175,0.05433526,0.007894737,0,0.843125434,0.156874566,0,0.815943787,0.184056213,0,0.784,0.216
48,Jaylon Johnson,NBAxJay7,2365,0,1,0,0,0,0,NBAxJay7,0,0,0.008695652,0.012121212,0,0,0.990322937,0.009677063,0,0.985450419,0.014549581,0,0.946,0.054
49,Cole Kmet,ColeKmet,275,0,1,0,0,0,0,ColeKmet,0,0,0,0,0,0,0.896722043,0.103277957,0,0.913741556,0.086258444,0,0.97,0.03
50,Robert Hainsey,rhainsey72,1203,0,0,0,0,0,0,rhainsey72,5.523625184,5.656406209,0.032195122,0.042857143,0.021,0,0.980575433,0.019424567,0,0.985309036,0.014690964,0,0.972,0.028
51,Todd Harris,toddharris_6,1122,0,0,0,0,0,0,toddharris_6,0,0,0.000910747,0.001769912,0,0,0.959343333,0.040656667,0,0.970124522,0.029875478,0,1,0
52,Netori Johnson,ATLNETORIJ,729,0,0,0,0,0,0,ATLNETORIJ,1.89877836,2.209039548,0.045454545,0,0.088235294,0,0.949956389,0.050043611,0,0.966527537,0.033472463,0,0.788,0.212
53,Tyrell Shavers,rell4six,1131,0,0,0,0,0,0,rell4six,0,0,0,0,0,0,0.959755663,0.040244337,0,0.970326581,0.029673419,0,1,0
54,CJ Thorpe,truk_savage,284,0,0,0,0,0,0,truk_savage,19.89388173,19.64285714,0.007518797,0.012027491,0.003252033,0,0.989204263,0.010795737,0,0.993189919,0.006810081,0,0.982,0.018
55,Ambry Thomas,Tavonn_,44,0,0,1,1,1,1,Tavonn_,18.8879989,21.78411592,0.032570423,0.070967742,0.005961252,0,0.526713601,0.473286399,1,0.386288943,0.613711057,0,0.584,0.416
56,Jarez Parks,rezzz_p,1194,0,0,0,0,0,0,rezzz_p,0,0,0.008714597,0.019002375,0,0,0.962531711,0.037468289,0,0.972167147,0.027832853,0,0.99,0.01
57,Jake Moretti,jmoretti_70,1229,1,0,0,0,0,0,jmoretti_70,4.923021323,6.895209581,0.006472492,0.004739336,0.010204082,0,0.982090497,0.017909503,0,0.987752829,0.012247171,0,0.98,0.02
58,Kary Vincent,KVJ_XV,1292,0,0,0,0,0,0,KVJ_XV,0,0,0.0048,0.008403361,0,0,0.966487416,0.033512584,0,0.97427966,0.02572034,0,0.992,0.008
59,Anthony McFarland Jr.,AnttMacc_,521,0,0,0,0,0,0,AnttMacc_,0,0,0.002788104,0.006458558,0,0,0.920684973,0.079315027,0,0.950327091,0.049672909,0,0.994,0.006
60,Markail Benton,king_benton_,813,0,0,0,0,0,0,king_benton_,12.18901252,7.657648283,0.010176391,0.016149068,0.002989537,0,0.9809224,0.0190776,0,0.987571988,0.012428012,0,0.988,0.012
61,Greg Johnson,ykgthree,2240,0,0,0,0,0,0,ykgthree,0,0,0.026387009,0.054317549,0,0,0.988801655,0.011198345,0,0.988986658,0.011013342,0,0.924,0.076
62,Tyrese Robinson,tyrese_robinson,1106,0,0,0,0,0,0,tyrese_robinson,0,0,0.000811688,0.001984127,0,0,0.958600295,0.041399705,0,0.969714242,0.030285758,0,1,0
63,Christopher Allen,Allen_Greatness,1110,0,0,0,0,0,0,Allen_Greatness,0.211711712,0,0.008695652,0.011764706,0.004255319,0,0.95921744,0.04078256,0,0.970376173,0.029623827,0,1,0
64,Jordan Anthony,Jordan_LittleBO,1203,0,0,1,0,1,0,Jordan_LittleBO,20.69555416,15.27158837,0.032085561,0.044186047,0.01572327,0,0.866492618,0.133507382,0,0.887893833,0.112106167,0,0.868,0.132
65,Robert Beal,robertbeal6,729,0,0,0,0,0,0,robertbeal6,0,0,0.006309148,0.004273504,0.012048193,0,0.936861518,0.063138482,0,0.958277367,0.041722633,0,0.996,0.004
66,Hamsah Nasirildeen,nasirildeen,621,0,0,0,0,0,0,nasirildeen,0,0,0.001801802,0.00249584,0,0,0.928887615,0.071112385,0,0.954251646,0.045748354,0,0.984,0.016
67,Chuck Filiaga,CFiliaga,1215,0,0,1,0,1,0,CFiliaga,5.052959805,5.079683539,0.040330418,0.044514107,0.025917927,0,0.596848885,0.403151115,0,0.639734214,0.360265786,0,0.828,0.172
68,Alijah Vera-Tucker,yung_lijh,2350,0,0,0,0,0,0,yung_lijh,3.746074473,3.959810875,0.026315789,0.030769231,0.024,0,0.993755546,0.006244454,0,0.993414626,0.006585374,0,0.924,0.076
69,Daniel Wright,_Wright3470,1351,0,0,0,0,0,0,_Wright3470,1.386200437,1.261915173,0.006160164,0.00754717,0.004504505,0,0.973082168,0.026917832,0,0.978894895,0.021105105,0,0.954,0.046
70,Dylan McCaffrey,dcaf20,1237,0,0,1,1,1,0,dcaf20,7.327837666,7.924732801,0.012919897,0.00867052,0.01635514,1,0.496994359,0.503005641,1,0.415917862,0.584082138,1,0.374,0.626
71,Greg Rogers,CityBoyGreg,1972,0,0,0,0,0,0,CityBoyGreg,0,0,0,0,0,0,0.984698603,0.015301397,0,0.985672706,0.014327294,0,0.966,0.034
72,Jeremiah Holloman,Obey_Classics,744,0,0,0,0,0,0,Obey_Classics,0,0,0.004659832,0.008944544,0,0,0.937900762,0.062099238,0,0.958908892,0.041091108,0,0.994,0.006
73,Micah Clark,MicahClark17,637,0,0,0,0,0,0,MicahClark17,11.015625,13.79816514,0.009708738,0.027027027,0.004255319,0,0.98343095,0.01656905,0,0.988388767,0.011611233,0,0.948,0.052
74,Eno Benjamin,eno_benjamin5,1147,0,0,0,0,0,0,eno_benjamin5,2.582677475,2.754885323,0.016250495,0.02303523,0.006685769,0,0.970939151,0.029060849,0,0.978430981,0.021569019,0,0.978,0.022
75,Osiris St. Brown,osiristbrown,2233,0,0,0,0,0,0,osiristbrown,7.82581156,9.916054222,0.005150215,0.006535948,0.004249292,0,0.99609698,0.00390302,0,0.995727179,0.004272821,0,0.99,0.01
76,Hunter Echols,hunter_tyb,2240,0,0,0,0,0,0,hunter_tyb,17.43782039,9.623155505,0.005093379,0.016949153,0.002123142,0,0.997594195,0.002405805,0,0.997700007,0.002299993,0,0.974,0.026
77,Nico Collins,lbg_nico7,704,0,0,1,0,1,0,lbg_nico7,15.03402114,11.16143725,0.074285714,0.128691983,0.009975062,0,0.671061573,0.328938427,0,0.751895633,0.248104367,0,0.728,0.272
78,CJ Henderson,HendersonChris_,1373,0,0,0,0,0,0,HendersonChris_,1.648521472,1.248387097,0.007644197,0.011065812,0.002583979,0,0.974075411,0.025924589,0,0.979662237,0.020337763,0,0.94,0.06
79,Josh Falo,Josh_falo,2273,0,0,0,0,0,0,Josh_falo,2.072569727,2.653669725,0.019398642,0.021101993,0.011235955,0,0.99187623,0.00812377,0,0.99160587,0.00839413,0,0.93,0.07
80,Chaz Ah You,chazahyou3,1639,0,0,0,0,0,0,chazahyou3,1.768765056,2.723906735,0.008825787,0.008835341,0.008817046,0,0.982799508,0.017200492,0,0.985044272,0.014955728,0,0.942,0.058
81,Chevin Calloway,_chev1_,1165,0,0,0,0,0,0,_chev1_,0.525569849,0.708933718,0.018018018,0.023319616,0.010162602,0,0.963964848,0.036035152,0,0.973369469,0.026630531,0,0.988,0.012
82,Brad Stewart,B_Stew5,1052,0,0,0,0,0,0,B_Stew5,0,0,0.001578947,0.002181818,0,0,0.955995489,0.044004511,0,0.968285916,0.031714084,0,1,0
83,Justin Foster,Fosterkiddddd,637,0,0,0,0,0,0,Fosterkiddddd,27.25956204,17.02066116,0.003604903,0.006423983,0.000728332,0,0.994171655,0.005828345,0,0.996472872,0.003527128,0,0.994,0.006
84,Cordarrian Richardson,thegreatest_5,730,0,0,0,0,0,0,thegreatest_5,5.666459296,3.391461941,0.00902379,0.016194332,0.00166251,0,0.961533301,0.038466699,0,0.975225261,0.024774739,0,0.99,0.01
85,Toneil Carter,carter_toneil,1289,0,0,0,0,0,0,carter_toneil,0,0,0,0,0,0,0.966372532,0.033627468,0,0.974096079,0.025903921,0,1,0
86,Nate McBride,nmcbride13,874,0,0,0,0,0,0,nmcbride13,0,0,0,0,0,0,0.946259865,0.053740135,0,0.96303404,0.03696596,0,1,0
87,Aaron Banks,bigaaronbanks,2342,0,0,1,1,0,0,bigaaronbanks,15.57138617,14.031477,0.043744532,0.056085919,0.009836066,0,0.893590846,0.106409154,0,0.816702379,0.183297621,1,0.44,0.56
88,Leonard Warner,og_leo_,731,0,0,0,0,0,0,og_leo_,1.148648649,2.04,0.015037594,0.016574586,0.011764706,0,0.947637204,0.052362796,0,0.964964495,0.035035505,0,0.988,0.012
89,Jaylen Harris,JHarris5_,167,0,0,0,0,0,0,JHarris5_,6.539880323,4.568902439,0.015672616,0.019830028,0.009039548,0,0.935735036,0.064264964,0,0.964104213,0.035895787,0,0.984,0.016
90,Oliver Martin,O_Martin3,446,0,0,0,0,1,0,O_Martin3,0,0,0,0,0,0,0.913974852,0.086025148,0,0.946927812,0.053072188,0,0.996,0.004
91,Marco Wilson,MJW_era,1351,0,0,0,0,0,0,MJW_era,5.606691704,3.407407407,0.007488987,0.012269939,0.001035197,0,0.981103851,0.018896149,0,0.985469984,0.014530016,0,0.956,0.044
92,Amir Riep,Riep_Amir,250,0,0,0,0,0,0,Riep_Amir,13.26533938,15.37696206,0.036534447,0.057216055,0.004026846,0,0.979140933,0.020859067,0,0.987156499,0.012843501,0,0.976,0.024
93,Hezekiah Jones,_hezekiahh,1308,0,0,0,0,0,0,_hezekiahh,0,0,0.006934813,0.008391608,0.004092769,0,0.967093755,0.032906245,0,0.974633517,0.025366483,0,0.992,0.008
94,Jaylon Redd,CarsonBooyJay21,2200,1,0,0,0,0,0,CarsonBooyJay21,0.132928475,0,0.004329004,0.003773585,0.005076142,0,0.988345998,0.011654002,0,0.990100883,0.009899117,0,0.99,0.01
95,Trey Sermon,treyera,692,0,0,0,0,0,0,treyera,0,0,0.002670227,0.00422833,0,0,0.934228335,0.065771665,0,0.956954785,0.043045215,0,0.996,0.004
96,Henry Bainivalu,HBainivalu,2308,0,0,0,0,0,0,HBainivalu,4.972972973,7.247588424,0.010869565,0,0.02173913,0,0.99505381,0.00494619,0,0.994516558,0.005483442,0,0.94,0.06
97,Markquese Bell,MarkqueseB,621,1,0,0,0,0,0,MarkqueseB,3.330246914,9.222222222,0.020325203,0.012269939,0.036144578,0,0.966446294,0.033553706,0,0.979469351,0.020530649,0,0.964,0.036
98,Shawn Robinson,shawnrobinson_,1181,0,0,0,0,0,0,shawnrobinson_,0.547783251,0,0.003070175,0,0.003597122,0,0.962996494,0.037003506,0,0.972545936,0.027454064,0,0.984,0.016
99,LeAnthony Williams Jr.,LWilliams_4,703,0,0,0,0,0,0,LWilliams_4,1.211492418,1.520432692,0.005145798,0.003030303,0.007905138,0,0.944334486,0.055665514,0,0.96311807,0.03688193,0,0.978,0.022
100,D'Antne Demery,bigmandemery,937,0,0,0,0,0,0,bigmandemery,21.09969789,25.30434783,0.00150263,0,0.001718213,0,0.996765445,0.003234555,0,0.997280174,0.002719826,0,1,0
101,Obinna Eze,MAJORBUSQUET,522,0,0,0,0,0,0,MAJORBUSQUET,0,0,0.017077799,0.020454545,0,0,0.920771125,0.079228875,0,0.950773519,0.049226481,0,0.972,0.028
102,Kayden Lyles,Klyles60,400,0,1,0,0,0,0,Klyles60,2.30794702,2.8828125,0.028901734,0.010989011,0.048780488,0,0.932234237,0.067765763,0,0.940808826,0.059191174,0,0.83,0.17
103,Brett Neilon,brettn110,2244,0,0,0,0,0,0,brettn110,5.40408998,5.858024691,0.069686411,0.08411215,0.02739726,0,0.994278021,0.005721979,0,0.994249604,0.005750396,0,0.82,0.18
104,Malcom Askew,MacAskew4,729,0,0,0,0,0,0,MacAskew4,1.010133879,0.730938014,0.006451613,0.004444444,0.009756098,0,0.94259157,0.05740843,0,0.962134392,0.037865608,0,0.99,0.01
105,Kennedy Brooks,offenseofmind,1200,0,0,0,0,0,0,offenseofmind,0.084876059,0.235013032,0.008316008,0.006651885,0.011090573,0,0.963501601,0.036498399,0,0.972586638,0.027413362,0,0.988,0.012
106,Kevin Jarvis,kevin_jarvis,266,0,0,0,0,0,0,kevin_jarvis,5.815767635,6.719408503,0.02173913,0.010309278,0.0390625,0,0.94794574,0.05205426,0,0.968608785,0.031391215,0,0.966,0.034
107,Earnest Brown,ErnieBIV,1169,0,0,0,0,0,0,ErnieBIV,0,0,0.027777778,0.043010753,0,0,0.96145284,0.03854716,0,0.971947398,0.028052602,0,0.99,0.01
108,Ryan Johnson,ryanjohnson_50,967,0,0,0,0,0,0,ryanjohnson_50,3.185148078,2.714201183,0.010658546,0.013661202,0.008502289,0,0.965270339,0.034729661,0,0.975573351,0.024426649,0,0.978,0.022
109,Trajan Bandy,BandyTrajan,1373,0,0,0,0,0,0,BandyTrajan,0,0,0,0,0,0,0.969449767,0.030550233,0,0.975906033,0.024093967,0,0.988,0.012
110,Colin Wilson,dakid_wilson5,1029,0,0,0,0,0,0,dakid_wilson5,0,0,0.002321981,0,0.002638522,0,0.95483917,0.04516083,0,0.967621614,0.032378386,0,0.988,0.012
111,Tyler Johnson,T_muhneyy10,1954,0,0,0,0,0,0,T_muhneyy10,0,0,0.001731302,0.002983294,0,0,0.984375159,0.015624841,0,0.985469848,0.014530152,0,0.994,0.006
112,David Adams,David_Adams1335,284,0,0,0,0,0,0,David_Adams1335,5.764210052,7.212553811,0.012702584,0.023255814,0.007289596,0,0.950436828,0.049563172,0,0.969888367,0.030111633,0,0.952,0.048
113,James Hudson,__BallisLife2,54,0,0,1,1,1,0,__BallisLife2,0,0,0.027833002,0.057613169,0,1,0.089586081,0.910413919,1,0.098228842,0.901771158,0,0.506,0.494
114,Langi Tuifua,LangiTuifua,1630,0,0,0,0,0,0,LangiTuifua,18.55061439,26.59403153,0.001820167,0.00248139,0.001545595,0,0.99850389,0.00149611,0,0.99836607,0.00163393,0,0.992,0.008
115,Kasim Hill,Khillqb11,519,0,0,0,0,0,0,Khillqb11,0,0,0.017595308,0.046153846,0,0,0.920512413,0.079487587,0,0.951220729,0.048779271,0,0.962,0.038
